GEO_ID,NAME,S1401_C01_001E
12001,"Alachua County, Florida",92393
12003,"Baker County, Florida",6795
12005,"Bay County, Florida",39584
12007,"Bradford County, Florida",5339
12009,"Brevard County, Florida",124375
12011,"Broward County, Florida",472306
12013,"Calhoun County, Florida",2953
12015,"Charlotte County, Florida",24026
12017,"Citrus County, Florida",22302
12019,"Clay County, Florida",55514
12021,"Collier County, Florida",67847
12023,"Columbia County, Florida",14715
12027,"DeSoto County, Florida",6798
12029,"Dixie County, Florida",2992
12031,"Duval County, Florida",225735
12033,"Escambia County, Florida",73894
12035,"Flagler County, Florida",21207
12037,"Franklin County, Florida",1832
12039,"Gadsden County, Florida",10191
12041,"Gilchrist County, Florida",4186
12043,"Glades County, Florida",2251
12045,"Gulf County, Florida",2406
12047,"Hamilton County, Florida",2824
12049,"Hardee County, Florida",6386
12051,"Hendry County, Florida",10165
12053,"Hernando County, Florida",36451
12055,"Highlands County, Florida",17405
12057,"Hillsborough County, Florida",362874
12059,"Holmes County, Florida",3905
12061,"Indian River County, Florida",28747
12063,"Jackson County, Florida",8916
12065,"Jefferson County, Florida",2580
12067,"Lafayette County, Florida",1949
12069,"Lake County, Florida",70805
12071,"Lee County, Florida",144206
12073,"Leon County, Florida",101960
12075,"Levy County, Florida",7834
12077,"Liberty County, Florida",1786
12079,"Madison County, Florida",3300
12081,"Manatee County, Florida",73164
12083,"Marion County, Florida",67411
12085,"Martin County, Florida",28426
12086,"Miami-Dade County, Florida",657474
12087,"Monroe County, Florida",11711
12089,"Nassau County, Florida",16774
12091,"Okaloosa County, Florida",46859
12093,"Okeechobee County, Florida",8347
12095,"Orange County, Florida",368715
12097,"Osceola County, Florida",92418
12099,"Palm Beach County, Florida",321531
12101,"Pasco County, Florida",114214
12103,"Pinellas County, Florida",184170
12105,"Polk County, Florida",160280
12107,"Putnam County, Florida",15187
12109,"St. Johns County, Florida",61195
12111,"St. Lucie County, Florida",67895
12113,"Santa Rosa County, Florida",41289
12115,"Sarasota County, Florida",65654
12117,"Seminole County, Florida",117706
12119,"Sumter County, Florida",9736
12121,"Suwannee County, Florida",9285
12123,"Taylor County, Florida",4012
12125,"Union County, Florida",2330
12127,"Volusia County, Florida",111383
12129,"Wakulla County, Florida",7046
12131,"Walton County, Florida",14369
12133,"Washington County, Florida",4573
