,Voter Turnout Rate (Total Ballots Counted)
Alabama,63.1
Alaska,68.8
Arizona,65.9
Arkansas,56.1
California,68.5
Colorado,76.4
Connecticut,71.5
Delaware,70.7
District of Columbia,64.1
Florida,71.7
Georgia,68.0
Hawaii,57.5
Idaho,68.0
Illinois,67.0
Indiana,61.4
Iowa,73.2
Kansas,65.9
Kentucky,64.9
Louisiana,64.3
Maine,76.3
Maryland,71.1
Massachusetts,72.1
Michigan,73.9
Minnesota,80.0
Mississippi,60.2
Missouri,65.7
Montana,73.1
Nebraska,69.9
Nevada,65.4
New Hampshire,75.5
New Jersey,75.3
New Mexico,61.3
New York,63.6
North Carolina,71.5
North Dakota,64.5
Ohio,67.4
Oklahoma,55.0
Oregon,75.5
Pennsylvania,71.1
Rhode Island,65.3
South Carolina,64.5
South Dakota,66.0
Tennessee,59.8
Texas,60.4
Utah,69.2
Vermont,74.2
Virginia,73.0
Washington,75.7
West Virginia,57.6
Wisconsin,75.8
Wyoming,64.6
